x (m),t (s),T_analytical (C)
0.0,0,100.0
0.0101,0,37.757945
0.0202,0,14.782994
0.0303,0,23.578951
0.0404,0,30.610091
0.0505,0,25.028931
0.0606,0,21.208012
0.0707,0,25.392229
0.0808,0,27.823068
0.0909,0,24.430514
0.101,0,22.782191
0.1111,0,25.657686
0.1212,0,26.800375
0.1313,0,24.2945
0.1414,0,23.507725
0.1515,0,25.732098
0.1616,0,26.25335
0.1717,0,24.253751
0.1818,0,23.939025
0.1919,0,25.75242
0.202,0,25.901452
0.2121,0,24.246922
0.2222,0,24.233981
0.2323,0,25.749677
0.2424,0,25.648814
0.2525,0,24.256882
0.2626,0,24.454228
0.2727,0,25.733984
0.2828,0,25.453993
0.2929,0,24.277337
0.303,0,24.628651
0.3131,0,25.709425
0.3232,0,25.296253
0.3333,0,24.305542
0.3434,0,24.772505
0.3535,0,25.677897
0.3636,0,25.164139
0.3737,0,24.34016
0.3838,0,24.894549
0.3939,0,25.640357
0.404,0,25.05085
0.4141,0,24.380503
0.4242,0,25.000129
0.4343,0,25.597295
0.4444,0,24.952138
0.4545,0,24.426231
0.4646,0,25.092654
0.4747,0,25.548928
0.4848,0,24.865245
0.4949,0,24.477233
0.5051,0,25.17437
0.5152,0,25.49527
0.5253,0,24.788331
0.5354,0,24.533589
0.5455,0,25.246789
0.5556,0,25.436146
0.5657,0,24.720156
0.5758,0,24.595582
0.5859,0,25.310928
0.596,0,25.371148
0.6061,0,24.659887
0.6162,0,24.663765
0.6263,0,25.367459
0.6364,0,25.299545
0.6465,0,24.606994
0.6566,0,24.739092
0.6667,0,25.416781
0.6768,0,25.2201
0.6869,0,24.561205
0.697,0,24.823167
0.7071,0,25.459039
0.7172,0,25.130722
0.7273,0,24.522519
0.7374,0,24.918738
0.7475,0,25.49406
0.7576,0,25.027764
0.7677,0,24.491332
0.7778,0,25.030717
0.7879,0,25.521132
0.798,0,24.904486
0.8081,0,24.468833
0.8182,0,25.16856
0.8283,0,25.538304
0.8384,0,24.747246
0.8485,0,24.458268
0.8586,0,25.35264
0.8687,0,25.539972
0.8788,0,24.524263
0.8889,0,24.46989
0.899,0,25.635412
0.9091,0,25.505764
0.9192,0,24.142196
0.9293,0,24.549285
0.9394,0,26.201505
0.9495,0,25.313352
0.9596,0,23.171667
0.9697,0,25.148673
0.9798,0,28.384809
0.9899,0,21.073368
1.0,0,0.0
0.0,100,100.0
0.0101,100,91.1369
0.0202,100,82.467157
0.0303,100,74.171567
0.0404,100,66.407151
0.0505,100,59.298441
0.0606,100,52.932051
0.0707,100,47.354854
0.0808,100,42.575613
0.0909,100,38.569509
0.101,100,35.284736
0.1111,100,32.650173
0.1212,100,30.583216
0.1313,100,28.996956
0.1414,100,27.806162
0.1515,100,26.931747
0.1616,100,26.303661
0.1717,100,25.862357
0.1818,100,25.559053
0.1919,100,25.355145
0.202,100,25.221051
0.2121,100,25.134793
0.2222,100,25.080516
0.2323,100,25.047108
0.2424,100,25.026995
0.2525,100,25.015149
0.2626,100,25.008325
0.2727,100,25.00448
0.2828,100,25.002361
0.2929,100,25.001218
0.303,100,25.000615
0.3131,100,25.000304
0.3232,100,25.000147
0.3333,100,25.00007
0.3434,100,25.000032
0.3535,100,25.000015
0.3636,100,25.000007
0.3737,100,25.000003
0.3838,100,25.000001
0.3939,100,25.000001
0.404,100,25.0
0.4141,100,25.0
0.4242,100,25.0
0.4343,100,25.0
0.4444,100,25.0
0.4545,100,25.0
0.4646,100,25.0
0.4747,100,25.0
0.4848,100,25.0
0.4949,100,25.0
0.5051,100,25.0
0.5152,100,25.0
0.5253,100,25.0
0.5354,100,25.0
0.5455,100,25.0
0.5556,100,25.0
0.5657,100,25.0
0.5758,100,25.0
0.5859,100,25.0
0.596,100,25.0
0.6061,100,25.0
0.6162,100,25.0
0.6263,100,24.999999
0.6364,100,24.999998
0.6465,100,24.999995
0.6566,100,24.999989
0.6667,100,24.999977
0.6768,100,24.999951
0.6869,100,24.999899
0.697,100,24.999795
0.7071,100,24.999594
0.7172,100,24.999213
0.7273,100,24.998507
0.7374,100,24.997225
0.7475,100,24.99495
0.7576,100,24.991002
0.7677,100,24.984297
0.7778,100,24.973161
0.7879,100,24.955069
0.798,100,24.926316
0.8081,100,24.881618
0.8182,100,24.813649
0.8283,100,24.712548
0.8384,100,24.565446
0.8485,100,24.356084
0.8586,100,24.064613
0.8687,100,23.667681
0.8788,100,23.138928
0.8889,100,22.449942
0.899,100,21.571755
0.9091,100,20.47683
0.9192,100,19.141462
0.9293,100,17.548382
0.9394,100,15.689316
0.9495,100,13.567186
0.9596,100,11.197616
0.9697,100,8.609478
0.9798,100,5.844281
0.9899,100,2.954367
1.0,100,0.0
0.0,500,100.0
0.0101,500,96.018737
0.0202,500,92.055077
0.0303,500,88.126389
0.0404,500,84.249582
0.0505,500,80.440885
0.0606,500,76.715645
0.0707,500,73.088144
0.0808,500,69.571434
0.0909,500,66.177206
0.101,500,62.915678
0.1111,500,59.795519
0.1212,500,56.8238
0.1313,500,54.005971
0.1414,500,51.345878
0.1515,500,48.845793
0.1616,500,46.506481
0.1717,500,44.327281
0.1818,500,42.306209
0.1919,500,40.44008
0.202,500,38.724632
0.2121,500,37.15467
0.2222,500,35.72421
0.2323,500,34.426617
0.2424,500,33.254753
0.2525,500,32.201116
0.2626,500,31.257964
0.2727,500,30.417443
0.2828,500,29.671696
0.2929,500,29.012959
0.303,500,28.433648
0.3131,500,27.926435
0.3232,500,27.484302
0.3333,500,27.100596
0.3434,500,26.769053
0.3535,500,26.483834
0.3636,500,26.239528
0.3737,500,26.031163
0.3838,500,25.854198
0.3939,500,25.704516
0.404,500,25.578405
0.4141,500,25.472538
0.4242,500,25.383948
0.4343,500,25.310002
0.4444,500,25.248373
0.4545,500,25.197007
0.4646,500,25.154096
0.4747,500,25.118048
0.4848,500,25.087454
0.4949,500,25.061064
0.5051,500,25.037756
0.5152,500,25.016508
0.5253,500,24.996378
0.5354,500,24.976473
0.5455,500,24.955933
0.5556,500,24.933901
0.5657,500,24.90951
0.5758,500,24.881859
0.5859,500,24.849997
0.596,500,24.812904
0.6061,500,24.769478
0.6162,500,24.71852
0.6263,500,24.658719
0.6364,500,24.588647
0.6465,500,24.506745
0.6566,500,24.41132
0.6667,500,24.300542
0.6768,500,24.172443
0.6869,500,24.02492
0.697,500,23.855741
0.7071,500,23.662557
0.7172,500,23.44292
0.7273,500,23.194295
0.7374,500,22.91409
0.7475,500,22.599684
0.7576,500,22.248455
0.7677,500,21.857822
0.7778,500,21.425283
0.7879,500,20.948457
0.798,500,20.425132
0.8081,500,19.853313
0.8182,500,19.231268
0.8283,500,18.557576
0.8384,500,17.831175
0.8485,500,17.051404
0.8586,500,16.218042
0.8687,500,15.331344
0.8788,500,14.392067
0.8889,500,13.401494
0.899,500,12.361441
0.9091,500,11.274265
0.9192,500,10.142856
0.9293,500,8.970619
0.9394,500,7.761452
0.9495,500,6.519705
0.9596,500,5.250139
0.9697,500,3.95787
0.9798,500,2.648308
0.9899,500,1.327088
1.0,500,0.0
0.0,1000,100.0
0.0101,1000,97.183226
0.0202,1000,94.372687
0.0303,1000,91.574578
0.0404,1000,88.795011
0.0505,1000,86.039974
0.0606,1000,83.315296
0.0707,1000,80.626605
0.0808,1000,77.979299
0.0909,1000,75.378506
0.101,1000,72.829064
0.1111,1000,70.335486
0.1212,1000,67.90194
0.1313,1000,65.532232
0.1414,1000,63.229785
0.1515,1000,60.99763
0.1616,1000,58.838398
0.1717,1000,56.754313
0.1818,1000,54.747189
0.1919,1000,52.818437
0.202,1000,50.969069
0.2121,1000,49.199704
0.2222,1000,47.510584
0.2323,1000,45.901583
0.2424,1000,44.372231
0.2525,1000,42.921725
0.2626,1000,41.548956
0.2727,1000,40.252526
0.2828,1000,39.030777
0.2929,1000,37.881807
0.303,1000,36.803503
0.3131,1000,35.793559
0.3232,1000,34.849502
0.3333,1000,33.968719
0.3434,1000,33.148477
0.3535,1000,32.385947
0.3636,1000,31.678223
0.3737,1000,31.022348
0.3838,1000,30.415325
0.3939,1000,29.854141
0.404,1000,29.33578
0.4141,1000,28.857236
0.4242,1000,28.415529
0.4343,1000,28.007713
0.4444,1000,27.630887
0.4545,1000,27.282202
0.4646,1000,26.958868
0.4747,1000,26.65816
0.4848,1000,26.377421
0.4949,1000,26.114062
0.5051,1000,25.865571
0.5152,1000,25.629505
0.5253,1000,25.403496
0.5354,1000,25.18525
0.5455,1000,24.972544
0.5556,1000,24.763226
0.5657,1000,24.555212
0.5758,1000,24.346489
0.5859,1000,24.135108
0.596,1000,23.919188
0.6061,1000,23.696911
0.6162,1000,23.466523
0.6263,1000,23.226336
0.6364,1000,22.974724
0.6465,1000,22.710129
0.6566,1000,22.43106
0.6667,1000,22.136094
0.6768,1000,21.823882
0.6869,1000,21.493147
0.697,1000,21.142696
0.7071,1000,20.771416
0.7172,1000,20.378284
0.7273,1000,19.962368
0.7374,1000,19.522838
0.7475,1000,19.058965
0.7576,1000,18.57013
0.7677,1000,18.05583
0.7778,1000,17.51568
0.7879,1000,16.949423
0.798,1000,16.356928
0.8081,1000,15.7382
0.8182,1000,15.093381
0.8283,1000,14.422749
0.8384,1000,13.726727
0.8485,1000,13.005879
0.8586,1000,12.260911
0.8687,1000,11.492669
0.8788,1000,10.702137
0.8889,1000,9.890435
0.899,1000,9.058813
0.9091,1000,8.208644
0.9192,1000,7.341421
0.9293,1000,6.458743
0.9394,1000,5.562311
0.9495,1000,4.653916
0.9596,1000,3.735427
0.9697,1000,2.808781
0.9798,1000,1.875968
0.9899,1000,0.939021
1.0,1000,-0.0
0.0,3000,100.0
0.0101,3000,98.344159
0.0202,3000,96.689386
0.0303,3000,95.036747
0.0404,3000,93.387302
0.0505,3000,91.742101
0.0606,3000,90.102185
0.0707,3000,88.468579
0.0808,3000,86.842293
0.0909,3000,85.224316
0.101,3000,83.615616
0.1111,3000,82.017137
0.1212,3000,80.429795
0.1313,3000,78.854478
0.1414,3000,77.292041
0.1515,3000,75.743309
0.1616,3000,74.209069
0.1717,3000,72.690071
0.1818,3000,71.187028
0.1919,3000,69.700612
0.202,3000,68.231453
0.2121,3000,66.780139
0.2222,3000,65.347214
0.2323,3000,63.933176
0.2424,3000,62.53848
0.2525,3000,61.163533
0.2626,3000,59.808695
0.2727,3000,58.474281
0.2828,3000,57.160559
0.2929,3000,55.867748
0.303,3000,54.596022
0.3131,3000,53.345509
0.3232,3000,52.116291
0.3333,3000,50.908403
0.3434,3000,49.721839
0.3535,3000,48.556546
0.3636,3000,47.412433
0.3737,3000,46.289363
0.3838,3000,45.187163
0.3939,3000,44.105619
0.404,3000,43.044482
0.4141,3000,42.003467
0.4242,3000,40.982256
0.4343,3000,39.980497
0.4444,3000,38.997812
0.4545,3000,38.033791
0.4646,3000,37.088
0.4747,3000,36.159982
0.4848,3000,35.249256
0.4949,3000,34.355323
0.5051,3000,33.477666
0.5152,3000,32.615751
0.5253,3000,31.769032
0.5354,3000,30.936953
0.5455,3000,30.118945
0.5556,3000,29.314437
0.5657,3000,28.522848
0.5758,3000,27.743599
0.5859,3000,26.976106
0.596,3000,26.219787
0.6061,3000,25.474066
0.6162,3000,24.738367
0.6263,3000,24.012123
0.6364,3000,23.294776
0.6465,3000,22.585775
0.6566,3000,21.884583
0.6667,3000,21.190673
0.6768,3000,20.503534
0.6869,3000,19.822668
0.697,3000,19.147596
0.7071,3000,18.477854
0.7172,3000,17.812997
0.7273,3000,17.152598
0.7374,3000,16.49625
0.7475,3000,15.843567
0.7576,3000,15.194184
