x (m),t (s),T_numerical (C)
0.0,0.0,100.0
0.02,0.0,25.0
0.04,0.0,25.0
0.06,0.0,25.0
0.08,0.0,25.0
0.1,0.0,25.0
0.12,0.0,25.0
0.14,0.0,25.0
0.16,0.0,25.0
0.18,0.0,25.0
0.2,0.0,25.0
0.22,0.0,25.0
0.24,0.0,25.0
0.26,0.0,25.0
0.28,0.0,25.0
0.3,0.0,25.0
0.32,0.0,25.0
0.34,0.0,25.0
0.36,0.0,25.0
0.38,0.0,25.0
0.4,0.0,25.0
0.42,0.0,25.0
0.44,0.0,25.0
0.46,0.0,25.0
0.48,0.0,25.0
0.5,0.0,25.0
0.52,0.0,25.0
0.54,0.0,25.0
0.56,0.0,25.0
0.58,0.0,25.0
0.6,0.0,25.0
0.62,0.0,25.0
0.64,0.0,25.0
0.66,0.0,25.0
0.68,0.0,25.0
0.7,0.0,25.0
0.72,0.0,25.0
0.74,0.0,25.0
0.76,0.0,25.0
0.78,0.0,25.0
0.8,0.0,25.0
0.82,0.0,25.0
0.84,0.0,25.0
0.86,0.0,25.0
0.88,0.0,25.0
0.9,0.0,25.0
0.92,0.0,25.0
0.94,0.0,25.0
0.96,0.0,25.0
0.98,0.0,25.0
1.0,0.0,0.0
0.0,1500.0,100.0
0.02,1500.0,95.803446
0.04,1500.0,90.556016
0.06,1500.0,86.585823
0.08,1500.0,82.0651
0.1,1500.0,77.729703
0.12,1500.0,73.569157
0.14,1500.0,69.541112
0.16,1500.0,65.661723
0.18,1500.0,61.954483
0.2,1500.0,58.433657
0.22,1500.0,55.107376
0.24,1500.0,51.981005
0.26,1500.0,49.057754
0.28,1500.0,46.338341
0.3,1500.0,43.820817
0.32,1500.0,41.500697
0.34,1500.0,39.371217
0.36,1500.0,37.423615
0.38,1500.0,35.647404
0.4,1500.0,34.030638
0.42,1500.0,32.560183
0.44,1500.0,31.221989
0.46,1500.0,30.001354
0.48,1500.0,28.883176
0.5,1500.0,27.852193
0.52,1500.0,26.893199
0.54,1500.0,25.991243
0.56,1500.0,25.131811
0.58,1500.0,24.300984
0.6,1500.0,23.485581
0.62,1500.0,22.673287
0.64,1500.0,21.852755
0.66,1500.0,21.013709
0.68,1500.0,20.147015
0.7,1500.0,19.244748
0.72,1500.0,18.300253
0.74,1500.0,17.308194
0.76,1500.0,16.264598
0.78,1500.0,15.166848
0.8,1500.0,14.01358
0.82,1500.0,12.804521
0.84,1500.0,11.540645
0.86,1500.0,10.225254
0.88,1500.0,8.864966
0.9,1500.0,7.464152
0.92,1500.0,6.007853
0.94,1500.0,4.491863
0.96,1500.0,3.16086
0.98,1500.0,1.405054
1.0,1500.0,0.0
0.0,3000.0,100.0
0.02,3000.0,96.71011
0.04,3000.0,93.469367
0.06,3000.0,90.188092
0.08,3000.0,86.976584
0.1,3000.0,83.774932
0.12,3000.0,80.618564
0.14,3000.0,77.509401
0.16,3000.0,74.452819
0.18,3000.0,71.455507
0.2,3000.0,68.522988
0.22,3000.0,65.65996
0.24,3000.0,62.870524
0.26,3000.0,60.158115
0.28,3000.0,57.525451
0.3,3000.0,54.974522
0.32,3000.0,52.5066
0.34,3000.0,50.122254
0.36,3000.0,47.821368
0.38,3000.0,45.603171
0.4,3000.0,43.466272
0.42,3000.0,41.408704
0.44,3000.0,39.427974
0.46,3000.0,37.521119
0.48,3000.0,35.684762
0.5,3000.0,33.915175
0.52,3000.0,32.208345
0.54,3000.0,30.560034
0.56,3000.0,28.965849
0.58,3000.0,27.421304
0.6,3000.0,25.921879
0.62,3000.0,24.463083
0.64,3000.0,23.040509
0.66,3000.0,21.649881
0.68,3000.0,20.287104
0.7,3000.0,18.948303
0.72,3000.0,17.629856
0.74,3000.0,16.328423
0.76,3000.0,15.040966
0.78,3000.0,13.764767
0.8,3000.0,12.497435
0.82,3000.0,11.236895
0.84,3000.0,9.981365
0.86,3000.0,8.729439
0.88,3000.0,7.480189
0.9,3000.0,6.23234
0.92,3000.0,4.983544
0.94,3000.0,3.742693
0.96,3000.0,2.486956
0.98,3000.0,1.250284
1.0,3000.0,0.0
0.0,4500.0,100.0
0.02,4500.0,97.213606
0.04,4500.0,94.429201
0.06,4500.0,91.65551
